language,glottocode,family,area,latitude,longitude,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,52A Comitatives and Instrumentals,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,37A Definite Articles,38A Indefinite Articles,101A Expression of Pronominal Subjects,46A Indefinite Pronouns,43A Third Person Pronouns and Demonstratives,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,47A Intensifiers and Reflexive Pronouns,44A Gender Distinctions in Independent Personal Pronouns,32A Systems of Gender Assignment,32A Systems of Gender Assignment,112A Negative Morphemes,33A Coding of Nominal Plurality,53A Ordinal Numerals,54A Distributive Numerals,87A Order of Adjective and Noun,85A Order of Adposition and Noun Phrase,91A Order of Degree Word and Adjective,88A Order of Demonstrative and Noun,86A Order of Genitive and Noun,143A Order of Negative Morpheme and Verb,89A Order of Numeral and Noun,"84A Order of Object, Oblique, and Verb",90A Order of Relative Clause and Noun,107A Passive Constructions,106A Reciprocal Constructions,73A The Optative,71A The Prohibitive,70A The Morphological Imperative,48A Person Marking on Adpositions,93A Position of Interrogative Phrases in Content Questions,92A Position of Polar Question Particles,59A Possessive Classification,57A Position of Pronominal Possessive Affixes,24A Locus of Marking in Possessive Noun Phrases,27A Reduplication,67A The Future Tense,66A The Past Tense,65A Perfective/Imperfective Aspect,102A Verbal Person Marking,"81A Order of Subject, Object and Verb"
Hittite,hitt1242,Indo-European,Near East,40,35,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,Related to remote demonstratives,Three-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Two,Negative particle,Plural suffix,,Marked by suffix,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Correlative,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Dependent marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SOV
Hurrian,hurr1240,Hurro-Urartian,Near East,40.73,43.32,Ergative - absolutive,Ergative - absolutive,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Unrelated,Three-way contrast,,,No gender distinctions,Semantic,None,Negative affix,Plural prefix ,"One-th, two-th, three-th",,Adjective-Noun ,Postpositions,,,Genitive-Noun,,Numeral-Noun,No dominant order,Internally-headed,Absent,,Inflectional optative present,Normal imperative + normal negative,Second singular and second plural,,,,,Possessive suffixes,Dependent marking,,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,A or P argument,SOV
Luwian,luvi1235,Indo-European,Near East,38,36,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,,,Mixed,Interrogative-based,Related to remote demonstratives,Two-way contrast,,,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,"One-th, two-th, three-th",,,,,,,,,,,Present,,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,,,,No possessive classification,No possessive affixes,Dependent marking,,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SOV
Phoenician,phoe1239,Northwest Semitic,Near East,34.12,35.65,Nominative - accusative (standard),Neutral,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,,,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,,,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,"A obligatory, P optional",VSO
Sumerian,sume1241,Sumerian,Near East,31.3,45.67,Nominative - accusative (standard),Neutral,Differentiation,And different from 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Generic-noun-based,Unrelated,Three-way contrast,Different stem,Identical,No gender distinctions,Semantic and formal,Two,Variation between negative word and affix,Plural clitic,"First, two, three",No distributive numerals,Noun-Adjective,No adpositions,,Noun-Demonstrative,Noun-Genitive,Type 1 / Type 3 ,Noun-Numeral,No dominant order,Noun-Relative clause,Present,No reciprocals,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,No adpositions ,Not initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Ugaritic,ugar1238,Northwest Semitic,Near East,35.6,35.78,Nominative - accusative (standard),Nominative - accusative (standard),,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Mixed,Interrogative-based,Unrelated,Two-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,,Plural suffix,"First, two, three",Marked by suffix,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,,,,,Present,Identical to reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,,,,,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,No dominant order
Ancient South Arabian,sayh1236,Central Semitic,Near East,15.42,45.35,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,Definite affix,Indefinite affix,Optional pronouns in subject position,,Related to remote demonstratives,Two-way contrast,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,"First, two, three",,,Prepositions,,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,,Inflectional optative present,Special imperative + normal negative,,Pronouns only,,,,Possessive suffixes,Double marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,VSO
Old Elamite,elam1244,Elamite,Near East,31.18,48.23,Neutral,Nominative - accusative (standard),,,Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,Special,Related for all demonstratives,No distance contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Two,"Negative word, unclear if verb or particle",Plural suffix,,,Noun-Adjective,,,Noun-Demonstrative,Noun-Genitive,NegV,,,Noun-Relative clause,,,Inflectional optative absent,Special imperative + special negative,Second person number-neutral,No person marking,,,,,,Productive full and partial reduplication,,,,Only the A argument,SOV
Achaemenid Elamite,elam1244,Elamite,Near East,31.18,48.23,Neutral,Nominative - accusative (standard),,,Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,Special,Related for all demonstratives,Two-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Two,Negative particle,Plural suffix,,,Noun-Adjective,,,Noun-Demonstrative,Noun-Genitive,NegV,,,Noun-Relative clause,,,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,,,,,,Productive full and partial reduplication,,,,Only the A argument,No dominant order
Standard Biblical Hebrew,bibl1238,Northwest Semitic,Near East,31.78,35.17,Neutral,Nominative - accusative (standard),Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Mixed,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO
Mishnaic Hebrew,hebr1246,Northwest Semitic,Near East,31.78,35.17,Neutral,Nominative - accusative (standard),Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Mixed,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Noun-Adjective,Prepositions,Degree word-Adjective,Mixed,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,No reciprocals,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,VSO
Amorite,amor1239,Northwest Semitic,Near East,34.71,40.72,Nominative - accusative (standard),,,,,,,,,,,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,,Plural stem change,,,,,,,Noun-Genitive,,,,,Present,,Inflectional optative present,,Second singular,,,,,Possessive suffixes,Double marking,,,"Present, no remoteness distinctions",,Only the A argument,
Abkhaz,abkh1244,Abkhazian-Ubykh,world,43.08333333,41,Neutral,Neutral,Differentiation,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Subject affixes on verb,Special,,Two-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic,Three,Negative affix,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,Type 3 / Type 4,No dominant order,XOV,Relative clause-Noun,Absent,Distinct from reflexive,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,Pronouns and nouns,Not initial interrogative phrase,No question particle,No possessive classification,Possessive prefixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
Alamblak,alam1246,Sepik Hill,world,-4.666666667,143.3333333,Neutral,,Differentiation,And different from 'with',Differentiation,Definite word distinct from demonstrative,"No indefinite, but definite article",Subject affixes on verb,,Related by gender markers,Two-way contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural clitic,"First, two-th, three-th",,Adjective-Noun,Postpositions,Adjective-Degree word,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,No dominant order,Relative clause-Noun,Absent,,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, 2-3 remoteness distinctions",Grammatical marking,Both the A and P arguments,SOV
